match_id,puuid,win,total_minions_killed,surrender,total_damage_dealt_champions,vision_score,time_played,minionsPerMinute,visionScorePerMinute,damageDealtPerMinute
NA1_5270863364,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,201,False,27189,21,29,6.93,0.72,937.55
NA1_5270841757,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,123,True,10045,7,15,8.2,0.47,669.67
NA1_5270805738,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,217,False,27380,29,28,7.75,1.04,977.86
NA1_5270761533,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,32,True,32015,24,34,0.94,0.71,941.62
NA1_5270741520,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,152,True,12492,8,15,10.13,0.53,832.8
NA1_5270413691,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,211,False,21132,22,27,7.81,0.81,782.67
NA1_5270119003,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,187,False,28074,20,24,7.79,0.83,1169.75
NA1_5270083565,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,225,False,25944,24,30,7.5,0.8,864.8
NA1_5269482320,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,266,False,34375,28,31,8.58,0.9,1108.87
NA1_5269456439,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,239,False,16733,21,27,8.85,0.78,619.74
NA1_5269434952,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,151,True,7233,12,16,9.44,0.75,452.06
NA1_5269412960,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,192,False,28537,22,23,8.35,0.96,1240.74
NA1_5269366931,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,191,True,21678,19,26,7.35,0.73,833.77
NA1_5269344678,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,135,True,8927,16,15,9.0,1.07,595.13
NA1_5269301630,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,184,True,29772,27,26,7.08,1.04,1145.08
NA1_5269269295,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,240,True,36880,17,26,9.23,0.65,1418.46
NA1_5269223878,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,269,False,80055,42,40,6.72,1.05,2001.38
NA1_5269178745,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,249,False,33985,24,27,9.22,0.89,1258.7
NA1_5269125144,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,208,False,21826,15,24,8.67,0.62,909.42
NA1_5269087165,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,205,True,33729,20,22,9.32,0.91,1533.14
NA1_5268769873,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,241,False,30869,38,28,8.61,1.36,1102.46
NA1_5268740939,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,143,True,15398,10,18,7.94,0.56,855.44
NA1_5268709324,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,249,False,28263,23,30,8.3,0.77,942.1
NA1_5268553970,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,266,False,45082,33,34,7.82,0.97,1325.94
NA1_5268119470,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,215,True,21705,15,23,9.35,0.65,943.7
NA1_5268097204,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,195,True,18569,26,24,8.12,1.08,773.71
NA1_5268071160,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,196,False,25724,34,26,7.54,1.31,989.38
NA1_5268051037,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,True,202,False,11460,22,19,10.63,1.16,603.16
NA1_5268018153,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,194,True,15537,13,23,8.43,0.57,675.52
NA1_5267988087,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,273,False,21724,19,29,9.41,0.66,749.1
NA1_5267955010,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,185,True,18161,14,24,7.71,0.58,756.71
NA1_5267911727,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,253,False,38851,35,39,6.49,0.9,996.18
NA1_5267333302,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,253,False,39638,28,29,8.72,0.97,1366.83
NA1_5267300807,xmiQxjM4M6GtZ_YHPjipfYqsHCoNzG1l1RVd3sDRzPjuGRhE8j166oqZrW0nhgkwW-dRu1MEGmueSQ,False,240,False,25461,14,28,8.57,0.5,909.32
